Expression,Definition,Context,Remarks
With one's last breath,Before one dies,Literary,
Wiped out...way up..,Dead usually if multiple individuals die,Neutral,
Wearing a pine overcoat (i.e. a wooden coffin),Dead,Slang,Idiom used by American gangsters of the early 20th century.
Up and die,To die usually before doing some sort of important task,Euphemistic,
Until one's dying day,As long as one lives,Neutral,
Turn up one's toes,To die,Informal,An alternative of 'turn one's toes up to the daisies' (See 'push up daisies' above.)
Top yourself,Commit suicide,Informal,
The Grim Reaper,Personification of death,Cultural,Askeletonwith ascythe often in a cloak
Tango Uniform,Dead irreversibly broken,Military slang,"This is ""T.U."" in theICAO spelling alphabet an abbreviation for Tits Up."
Take the last train to glory.,To die,Euphemistic,Comes from theChristianbelief that a heaven or greater life exists after death for the faithful.
Take one's life,To kill yourself,Formal,To take one'sownlife means to commit suicide.
Take a last bow,To die,Euphemistic,
Take a dirt nap,To die and be buried,Slang,
Swimming with concrete shoes,Murdered,Slang,Gangster
Suicide,To take one's own life,Formal,
Struck down,To be killed by an illness,Neutral,Usually passive
Step off,To die,Informal euphemistic,"Used in the movieThe Late Show(1977): ""I'm always sorry to hear any of God's creatures stepping off."" (Spoken by the character Ron Birdwell played by Eugene Roche.)"
Snuffed out,Murdered,Literary,As in 'like a candle'
Snuff it,To die,Informal,British
Sleeps with the fishes,Murdered then disposed of in water.,Slang,Popularized byThe Godfather
Six feet under,Dead,Informal,Sixfeetis the traditional depth of a grave
Shuffle off this mortal coil,To die,HumorousLiterary[2],Quoted fromShakespeare'sHamlet. Sometimes used as 'this mortal coil' to refer to the fact that one is alive in a troublesome way.[2]
Shade,The state of death,Euphemism,"From the poem ""Invictus"" by William Ernest Henley: ""Beyond this place of wrath and tears Looms but the horror of the shade."""
Sent/go to the farm,To die,Informal,"Usually referring to the death of a pet especially if the owners are parents of young children i.e. ""The dog was sent to a farm."""
Send one to Eternity or to the Promised Land,To kill someone,Literary,
Ride the pale horse,To die,Euphemistic,"In the Biblical passageRevelation 6:8 a pale horse is ridden by Death one of theFour Horsemen of the Apocalypse. The expression ""behold a pale horse"" has been used as the title of a 1964 film byFred Zinnemannand a 1991 book byufologistWilliam Milton Cooper."
Rainbow Bridge,Dead,Euphemism,"Usually referring to the death of a pet i.e. ""Crossing the Rainbow Bridge."""
Put one to the sword,To kill someone,Literary,
Put down/put to sleep,To be euthanised,Euphemism,Usually referring to the unnatural death of a pet
Push up daisies,To have died and be under the ground,Humorous[1]Euphemistic[4],This idiom dates back to the early 20th century. Also 'under the daisies' and 'turn one's toes up to the daisies which date back to the mid 19th century. See 'to turn up one's toes' below.
Promoted to Glory,Death of aSalvationist,Formal,Salvation Army terminology.
Pop one's clogs,To die,Humorous[1]Informal[2],"British. In English slang the word ""pop"" means the same as ""pawn."" A 19th century working man who is mortally ill or at the point of death might apocryphally tell his family to take his clothes to the pawn shop to pay for his funeral; especially hisclogswhich would be his most expensive/valuable items. Sometimes used in the third person ""they've popped his clogs."""
Peg out,To die,Slang,British. Also means 'to stop working'
Pay the ultimate price,To die because of something one has done,Neutral,"Often applied to amoralreason similar to ""To make the ultimate sacrifice"""
Patricide,To kill one's father,Formal,
Pass in one's alley,To die,Informal,Australian
Pass away,To die,Polite,Also 'to pass on'
One's number is up,One is going to die,Slang,
One's hour has come,One thinks he's going to die,Literary,
On one's last legs,About to die,Informal,
On one's deathbed,Dying,Neutral,
Off the hooks,Dead,Informal,British. Not to be confused with 'off the hook' (no longer in trouble).
Off on a boat,To die,Euphemistic,This means to die. Viking expression back into fashion nowadays
Not with us anymore,Dead,Euphemistic,
Not long for this world,Will die soon; have little time left to live,Old-fashioned,Also notbelong for this world
Night,The state of death,Euphemism,"From the poem by Dylan Thomas ""Do Not Go Gentle Into That Good Night."""
Murder Death Kill (MDK),Homicide,TV/Movie,From 1993 filmDemolition Man
Meet one's maker,To die,Euphemistic,Comes from theChristianbelief that a soul needs to seeGod its 'maker' after his life for judgment.
Matricide,To kill one's mother,Formal,
Make the ultimate sacrifice,To die while fighting for a cause,Formal,Also 'make the supreme sacrifice'
Lose one's life,To die in anaccidentorviolentevent,Neutral,
Live on a farm (upstate),To die,Euphemism,"Usually referring to the death of a pet especially if the owners are parents with children i.e. ""The dog went to live on a farm."""
Kiss that arse goodbye,About to be killed,Slang,"British. Popular in films. Also ""Kiss your ass goodbye"" (U.S.)."
King of Terrors,Personification of death,Neutral,Also can refer to death itself in that death is the scariest of all terrors.
Killed In Action(KIA),Death of a military person due to enemy action.,Military language official and informal use.,Official military language brought to public attention by widespread use in media during theVietnam Warand later books and films on that war. Term continues to be used in connection with military deaths due to enemy activity.
Kick the calendar,To die,Slang informal,Polish saying. 'Calendar' implies somebody's time of death (kicking at particular moment of time)
Kick the bucket,To die,Informal,One theory says that it comes from a method ofsuicideof theMiddle Agesin which one stands on a bucket with a noose tied around their neck. Once they kick the bucket they arehanged.[13]Another theory is the kind of beam from which a pig is suspended which is also called a 'bucket' in theNorfolk dialect.[2]Also 'kick off' (American).[1]
Justifiable Homicide,Homicide,Formal,aka Capital Punishment Death Penalty
Join the great majority,To die,Euphemistic,First used byEdward Young but the phrase 'the majority' is extremely old.
Join the choir invisible,To Die,Neutral,From an 1867 poem byGeorge Eliot
In Abraham's bosom,In heaven,Neutral,From theHoly Bible Luke 16:22.
Hop the twig,To die,Informal,British. Also 'to hop the stick'. Also means 'to depart suddenly'. A stick is placed on the ground. Pagan beliefs say that to 'hop the stick' i.e. you stand on one side of the stick and jump to the other side places you in the afterworld.
Hop on the last rattler,To die,Euphemistic,"""Rattler"" is a slang expression for a freight train."
