,state,text,lat,lon,followers,favorites,friends,statuses_count,compound,pos,neg
0,Alabama,@jmccarter80 I ask myself that question daily. I didn't know it was possible to feel so hopeless/angry/depressed/de… https://t.co/1FFIjcRQd6,32.886360740740756,-86.81363913580245,1980,20870,2679,16516,,,
1,Alabama,RT @AmariFatale: When she put that ....on me I feel helpless,32.886360740740756,-86.81363913580245,86,415,122,1851,,,
2,Alabama,RT @AmariFatale: When she put that ....on me I feel helpless,32.886360740740756,-86.81363913580245,1225,3458,720,22617,,,
3,Alabama,When she put that ....on me I feel helpless,32.886360740740756,-86.81363913580245,4477,9842,2230,87692,,,
4,Alabama,@AmericanNumbers I know I usually tweet at you with some sarcasm but I am speechless reading all of these and feel so helpless,32.886360740740756,-86.81363913580245,661,4509,446,42635,,,
5,Alabama,when she put the 🐈 on me i feel helpless,32.886360740740756,-86.81363913580245,833,22770,434,84414,,,
6,Alabama,I don't like clingy. I like admiration. A nigga will cling to you all day just to make you feel like you're worthless. #queenshit.,32.886360740740756,-86.81363913580245,686,4697,799,21501,,,
7,Alabama,@sassandpolitics but that's sad like i feel like if it's true love you can't ever stop you know,32.886360740740756,-86.81363913580245,5043,28025,1340,11859,,,
8,Alabama,RT @Molliundera_: I feel sick and sad,32.886360740740756,-86.81363913580245,398,39002,186,46368,,,
9,Alabama,I feel sick and sad,32.886360740740756,-86.81363913580245,1461,15207,1467,28729,,,
10,Alabama,I honestly feel bad for these kids. So insecure. Little self worth. Sad,32.886360740740756,-86.81363913580245,236,29875,158,17284,,,
11,Alabama,"I love her so much, I get sad even when she just leaves the room for a moment!! I can feel my heartbeat slow down a bit!! 😭😭",32.886360740740756,-86.81363913580245,30,1301,67,1279,,,
12,Alabama,Every time I feel sad about the world I think about @Beyonce writing the verse “givin’ birth on these haters ‘cuz I’m fertile” 🔥🔥🔥🔥,32.886360740740756,-86.81363913580245,50,917,256,947,,,
13,Alabama,"I feel like getting up and walking around the house, but then I remember I can't without my crutches and I get sad.",32.886360740740756,-86.81363913580245,682,5879,694,48626,,,
14,Alabama,@SenWarren Its sad when the private response is outpacing governement response.  We have failed as a nation under t… https://t.co/TFpFtXXQm7,32.886360740740756,-86.81363913580245,17,120,112,1843,,,
15,Alabama,"If u decide to have kids young A.f, w/ no real relationship, no steady income, no housing,no education...well sis,I can only feel but so sad",32.886360740740756,-86.81363913580245,420,729,160,46343,,,
16,Alabama,"RT @Hunterroberson: You snoop so low to bring someone down or make their life hard just because your life is so sad... 

I feel so bad for…",32.886360740740756,-86.81363913580245,762,8955,53,2754,,,
17,Alabama,I actually feel sorry for the guy that just robbed me at gunpoint. Sad that he was actually so desperate that he felt the need to do that,32.886360740740756,-86.81363913580245,333,2847,185,3970,,,
18,Alabama,It’s sad that we’ve been in school for a month and i alrey feel like this https://t.co/bJKA9g8L3Q,32.886360740740756,-86.81363913580245,205,4694,139,1789,,,
19,Alabama,"@kasafusutan That's so horrible, I always feel insecure and profoundly sad for some reason afterwards",32.886360740740756,-86.81363913580245,571,35014,777,71988,,,
20,Alabama,sometimes i feel like i don't belong. i feel sad. i try my hardest. damn i really am trying my hardest to fit into something. anything.,32.886360740740756,-86.81363913580245,666,1886,660,5956,,,
21,Alabama,I’m on be fence ab how I feel ab this tbh. Turnt bc fav movie but no one will do it like the originals and that mak… https://t.co/RIZn53VrCE,32.886360740740756,-86.81363913580245,749,11439,410,22990,,,
22,Alabama,"@RsTner Oh, I do, but I also feel bad for them. Their hate just seems so...sad? I don't know if that's the right wa… https://t.co/cbv9ryjxQ0",32.886360740740756,-86.81363913580245,3523,161552,4707,195852,,,
23,Alabama,@BRAVO214 @bulldozier34 @alt_rightidiocy @seanhannity Oh and perhaps when you are on your deathbed and have nothing… https://t.co/7rdTuKxhya,32.886360740740756,-86.81363913580245,5,561,19,211,,,
24,Alabama,I can’t wait to feel like myself again soon. I’m a sad little excuse for a Valerie lately. #halfwaypoint #radiation,32.886360740740756,-86.81363913580245,327,704,503,4174,,,
25,Alabama,@Culture_Czar I like it. Makes me feel less sad about the ticket fees.,32.886360740740756,-86.81363913580245,418,9196,366,10387,,,
26,Alabama,"@BRAVO214 @bulldozier34 @seanhannity Actually I feel sad for u &amp; by the way, I know exactly what I'm talking about.… https://t.co/e3DglTwyjW",32.886360740740756,-86.81363913580245,5,561,19,211,,,
27,Alabama,@eevepw I feel sad I need u,32.886360740740756,-86.81363913580245,200,2783,139,5125,,,
