,state,text,lat,lon,followers,favorites,friends,statuses_count,compound,pos,neg
0,Alabama,"RT @_MauroGil: @JornalOGlobo @OGlobo_Cultura ""CONTROLE DE ARMAS!""

""Enquanto isso, vou passear com meus seguranças armados"" https://t.co/qV…",32.886360740740756,-86.81363913580245,19722,2892,445,48895,,,
1,Alabama,"@ClintSmithIII @AlexGeorge5 If you hate it so bad, then move to North Korea or somewhere far away. I can assure you… https://t.co/iPvbVF830X",32.886360740740756,-86.81363913580245,91,4986,391,1476,,,
2,Alabama,RT @ErinDionne1: One nigga can fuck it up for everybody ?,32.886360740740756,-86.81363913580245,569,2498,506,6618,,,
3,Alabama,one person followed me and one person unfollowed me // automatically checked by https://t.co/hLnhTul0QJ,32.886360740740756,-86.81363913580245,1364,6698,693,17007,,,
4,Alabama,Nah that’s just what u call a stress free relationship https://t.co/cwB0DpFnN7,32.886360740740756,-86.81363913580245,8805,8629,5249,44434,,,
5,Alabama,"Recording shit at 2k to render in 720p
Hell yeah",32.886360740740756,-86.81363913580245,280,42295,956,10170,,,
6,Alabama,now is when we need prayer more than ever. my prayers go out to Las Vegas.?,32.886360740740756,-86.81363913580245,50,290,203,240,,,
7,Alabama,RT @Dwm923: Merch https://t.co/wmuyO4Y19B,32.886360740740756,-86.81363913580245,673,4530,590,5987,,,
8,Alabama,"RT @thatblondebishh: And every single time you break a girls heart in two, there’s a little less of it when it comes back to you..",32.886360740740756,-86.81363913580245,80,483,81,854,,,
9,Alabama,"Finally getting around to watching Icarus. If you are an athlete, and haven’t watched it yet, you aren’t an athlete.",32.886360740740756,-86.81363913580245,387,1115,384,14507,,,
10,Alabama,@NobodyButJackie ????,32.886360740740756,-86.81363913580245,2005,3088,2498,12473,,,
11,Alabama,"RT @JerryHinnen: Me, on a thing that makes me happy. https://t.co/um8bNeoFBo",32.886360740740756,-86.81363913580245,237,5623,695,9635,,,
12,Alabama,RT @Michael23590040: @GaetaSusan Who are the ones rioting? Who are the ones attacking on college campuses? Who are the ones kneeling? #stop…,32.886360740740756,-86.81363913580245,2377,17000,2397,13964,,,
13,Alabama,AAA-Alabama provides free VIN etching https://t.co/w9wGWt6Ci2,32.886360740740756,-86.81363913580245,10110,29,46,32531,,,
14,Alabama,cardeze my baby ?,32.886360740740756,-86.81363913580245,2241,4403,1668,71452,,,
15,Alabama,@manderss_b Yep for sure,32.886360740740756,-86.81363913580245,1657,11397,2266,28172,,,
16,Alabama,RT @KomodoPlatform: How to open a business account @monaizefr in five minutes with a Mastercard in five days https://t.co/txzUEeVQEo #ICO #…,32.886360740740756,-86.81363913580245,98,193,69,698,,,
17,Alabama,Y’all really still out here scamming people? https://t.co/dxM7b8wkUB,32.886360740740756,-86.81363913580245,4293,10506,3588,158863,,,
18,Alabama,https://t.co/M59G2XNSCI Shop With Us!!!,32.886360740740756,-86.81363913580245,313,4022,491,5005,,,
19,Alabama,It's here!! Sneak peek of our BRAND NEW Moroccan Palace mural on metallic grasscloth just in… https://t.co/9HZwGyR6Zx,32.886360740740756,-86.81363913580245,584,1465,554,2079,,,
20,Alabama,State not building road to allow parking under bridge https://t.co/g2rJx79qNs,32.886360740740756,-86.81363913580245,10110,29,46,32531,,,
21,Alabama,Download The Definitive #RealEstate #DigitalMarketing Guide for 2017 today! https://t.co/KeFNAcBIV6,32.886360740740756,-86.81363913580245,1124,372,856,17739,,,
22,Alabama,My WIFE said that I HAVE TO SUFFER UNTIL SHE GETS HOME I Prioritize to please MY GOD &amp; My Wife. GOD SAID Be PECULIAR &amp; HOLY for I AM HOLY.,32.886360740740756,-86.81363913580245,52,359,441,55647,,,
